idx,topic,cite,authors,title,journal,year,doi,key
1,ATL_clinical,"1. Toyoda, Kosuke, Yasunaga, Jun-Ichirou, Shichijo, Takafumi, Arima, Yuichiro, Tsujita, Kenichi, Tanaka, Azusa, et al. HTLV-1 bZIP Factor-Induced Reprogramming of Lactate Metabolism and Epigenetic Status Promote Leukemic Cell Expansion. Blood cancer discovery. 2023;4(5):374-393. doi: 10.1158/2643-3230.BCD-22-0139","Toyoda, Kosuke, Yasunaga, Jun-Ichirou, Shichijo, Takafumi, Arima, Yuichiro, Tsujita, Kenichi, Tanaka, Azusa, et al",HTLV-1 bZIP Factor-Induced Reprogramming of Lactate Metabolism and Epigenetic Status Promote Leukemic Cell Expansion,Blood cancer discovery,2023,10.1158/2643-3230.BCD-22-0139,H7YLLXI5
2,ATL_clinical,"2. Koya, Junji, Saito, Yuki, Kameda, Takuro, Kogure, Yasunori, Yuasa, Mitsuhiro, Nagasaki, Joji, et al. Single-Cell Analysis of the Multicellular Ecosystem in Viral Carcinogenesis by HTLV-1. Blood cancer discovery. 2021;2(5):450-467. doi: 10.1158/2643-3230.BCD-21-0044","Koya, Junji, Saito, Yuki, Kameda, Takuro, Kogure, Yasunori, Yuasa, Mitsuhiro, Nagasaki, Joji, et al",Single-Cell Analysis of the Multicellular Ecosystem in Viral Carcinogenesis by HTLV-1,Blood cancer discovery,2021,10.1158/2643-3230.BCD-21-0044,436VUU4R
3,ATL_clinical,"3. Boons, Eline, Nogueira, Tatiane C., Dierckx, Tim, Menezes, Soraya Maria, Jacquemyn, Maarten, Tamir, Sharon, et al. XPO1 inhibitors represent a novel therapeutic option in Adult T-cell Leukemia, triggering p53-mediated caspase-dependent apoptosis. Blood cancer journal. 2021;11(2):27. doi: 10.1038/s41408-021-00409-3","Boons, Eline, Nogueira, Tatiane C., Dierckx, Tim, Menezes, Soraya Maria, Jacquemyn, Maarten, Tamir, Sharon, et al","XPO1 inhibitors represent a novel therapeutic option in Adult T-cell Leukemia, triggering p53-mediated caspase-dependent apoptosis",Blood cancer journal,2021,10.1038/s41408-021-00409-3,ZUPHGJHM
4,ATL_clinical,"4. Wolf, SN, Haddow, J, Greiller, C, Taylor, GP, Cook, LBM, Rowan, AG. Quantification of T cell clonality in human T cell leukaemia virus type-1 carriers can detect the development of adult T cell leukaemia early. BLOOD CANCER JOURNAL. 2021;11(3):. doi: 10.1038/s41408-021-00458-8","Wolf, SN, Haddow, J, Greiller, C, Taylor, GP, Cook, LBM, Rowan, AG",Quantification of T cell clonality in human T cell leukaemia virus type-1 carriers can detect the development of adult T cell leukaemia early,BLOOD CANCER JOURNAL,2021,10.1038/s41408-021-00458-8,3EQUHS3X
5,ATL_clinical,"5. Nakagawa, Masao, Shaffer, Arthur L. 3rd, Ceribelli, Michele, Zhang, Meili, Wright, George, Huang, Da Wei, et al. Targeting the HTLV-I-Regulated BATF3/IRF4 Transcriptional Network in Adult T Cell Leukemia/Lymphoma. Cancer cell. 2018;34(2):286-297.e10. doi: 10.1016/j.ccell.2018.06.014","Nakagawa, Masao, Shaffer, Arthur L. 3rd, Ceribelli, Michele, Zhang, Meili, Wright, George, Huang, Da Wei, et al",Targeting the HTLV-I-Regulated BATF3/IRF4 Transcriptional Network in Adult T Cell Leukemia/Lymphoma,Cancer cell,2018,10.1016/j.ccell.2018.06.014,HFSE9PQX
6,ATL_clinical,"6. Dierckx, T., Khouri, R., Menezes, S. M., Decanine, D., Farre, L., Bittencourt, A., et al. IFN-β induces greater antiproliferative and proapoptotic effects and increased p53 signaling compared with IFN-α in PBMCs of Adult T-cell Leukemia/Lymphoma  patients. Blood cancer journal. 2017;7(1):e519. doi: 10.1038/bcj.2016.126","Dierckx, T., Khouri, R., Menezes, S. M., Decanine, D., Farre, L., Bittencourt, A., et al",IFN-β induces greater antiproliferative and proapoptotic effects and increased p53 signaling compared with IFN-α in PBMCs of Adult T-cell Leukemia/Lymphoma  patients,Blood cancer journal,2017,10.1038/bcj.2016.126,A3VJXA64
7,ATL_clinical,"7. Ratner, L., Rauch, D., Abel, H., Caruso, B., Noy, A., Barta, S. K., et al. Dose-adjusted EPOCH chemotherapy with bortezomib and raltegravir for human T-cell leukemia virus-associated adult T-cell leukemia lymphoma. Blood cancer journal. 2016;6(3):e408. doi: 10.1038/bcj.2016.21","Ratner, L., Rauch, D., Abel, H., Caruso, B., Noy, A., Barta, S. K., et al",Dose-adjusted EPOCH chemotherapy with bortezomib and raltegravir for human T-cell leukemia virus-associated adult T-cell leukemia lymphoma,Blood cancer journal,2016,10.1038/bcj.2016.21,KU24FY3D
8,ATL_clinical,"8. Mihara, K., Yoshida, T., Ishida, S., Takei, Y., Kitanaka, A., Shimoda, K., et al. All-trans retinoic acid and interferon-α increase CD38 expression on adult T-cell leukemia cells and sensitize them to T cells bearing anti-CD38 chimeric antigen  receptors. Blood cancer journal. 2016;6(5):e421. doi: 10.1038/bcj.2016.30","Mihara, K., Yoshida, T., Ishida, S., Takei, Y., Kitanaka, A., Shimoda, K., et al",All-trans retinoic acid and interferon-α increase CD38 expression on adult T-cell leukemia cells and sensitize them to T cells bearing anti-CD38 chimeric antigen  receptors,Blood cancer journal,2016,10.1038/bcj.2016.30,MDSIR7RZ
9,ATL_clinical,"9. Ikebe, E, Kawaguchi, A, Tezuka, K, Taguchi, S, Hirose, S, Matsumoto, T, et al. Oral administration of an HSP90 inhibitor, 17-DMAG, intervenes tumor-cell infiltration into multiple organs and improves survival period for ATL model mice. BLOOD CANCER JOURNAL. 2013;3:. doi: 10.1038/bcj.2013.30","Ikebe, E, Kawaguchi, A, Tezuka, K, Taguchi, S, Hirose, S, Matsumoto, T, et al","Oral administration of an HSP90 inhibitor, 17-DMAG, intervenes tumor-cell infiltration into multiple organs and improves survival period for ATL model mice",BLOOD CANCER JOURNAL,2013,10.1038/bcj.2013.30,5A6AD58B
10,ATL_clinical,"10. Yamagishi, Makoto, Nakano, Kazumi, Miyake, Ariko, Yamochi, Tadanori, Kagami, Yayoi, Tsutsumi, Akihisa, et al. Polycomb-mediated loss of miR-31 activates NIK-dependent NF-κB pathway in adult T cell leukemia and other cancers. Cancer cell. 2012;21(1):121-135. doi: 10.1016/j.ccr.2011.12.015","Yamagishi, Makoto, Nakano, Kazumi, Miyake, Ariko, Yamochi, Tadanori, Kagami, Yayoi, Tsutsumi, Akihisa, et al",Polycomb-mediated loss of miR-31 activates NIK-dependent NF-κB pathway in adult T cell leukemia and other cancers,Cancer cell,2012,10.1016/j.ccr.2011.12.015,WB4PSK8W
11,ATL_bone,"11. Chen, Y, Chen, YX, Zheng, J, Yang, JJ, Wu, Y, Hu, JD, et al. Limitations of human t-lymphotropic virus type 1 antibody testing in hospitals of endemic regions in China. FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY. 2025;15:. doi: 10.3389/fcimb.2025.1474526","Chen, Y, Chen, YX, Zheng, J, Yang, JJ, Wu, Y, Hu, JD, et al",Limitations of human t-lymphotropic virus type 1 antibody testing in hospitals of endemic regions in China,FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,2025,10.3389/fcimb.2025.1474526,UXG8BKZS
