"","Tumor_T_osteolytic","T_naive_or_activated","Proliferating","T_resting","B_or_GerminalCenter","Endothelial","Lymphatic_endothelial","Myeloid","Fibroblast_osteolytic","NK_CTL","Other_epithelial","Keratinocyte","Apocrine_glandular","SmoothMuscle_or_pericyte","Tumor_T_proliferating"
"GSM831223",0.0511141124156119,9.72723057717373e-07,0.0411370008150908,0.502674692624713,9.14354567535052e-05,0.116045479203524,0.000374913122475035,0.0176603713917801,0.000454374400336165,0.0622381100013154,1.73126707281505e-06,0.0618049093009239,0.0222662493619192,0.0611840954853042,0.0629515524301227
"GSM831224",0.0410833945537116,1.18723506186293e-06,3.20014308885464e-06,0.63149257119657,0.0148678730585395,0.0931382557443613,2.31201607644658e-06,0.00276870262735777,0.00155677188350507,0.0106532712341647,1.98442542435588e-06,0.0695140440946489,0.0255579459338065,0.057937617584096,0.0514208682695872
"GSM831225",0.118552462946218,7.24417961627393e-06,0.030499373250607,0.401275025523798,0.000204269784204529,0.0642329104647186,9.97367690704677e-05,0.0403861290397311,6.18357675754616e-06,0.121266239885592,0.0177600052460218,0.0335310231331677,0.00913137661672584,0.0231478126256102,0.139900206958161
"GSM831226",0.184183324125393,0.070202550524019,5.49165659847018e-07,0.397481278565397,7.25868590249712e-07,0.104197413992945,0.00242115589880779,0.00581741982347541,7.80542692193398e-06,0.00142220128515808,7.17040587538346e-07,0.0639232423672807,0.0131633898030156,0.0789874200984728,0.0781908060142757
"GSM831227",0.0460991307843616,5.37686542684411e-07,0.0547867754762702,0.302668028368691,1.98802327408113e-06,0.0866658568421556,0.000985600884819089,0.125463640533657,0.0168402872174469,0.0695040488022315,0.00585963746093557,0.0564354464291075,0.0173907699663376,0.0287563657671501,0.18854188575702
"GSM831228",0.0946599860339436,8.56816040847504e-07,0.0299453186612079,0.3790305298684,6.05234382959249e-05,0.104774943037374,0.00266977901863328,0.066530581901083,0.00261168873108401,0.0449659904402543,0.000141305449996048,0.0764701038291341,0.0163823128454493,0.0468672432980288,0.134888836631075
"GSM831229",0.140284674327405,0.0942331421960941,8.90943314539442e-07,0.269490054181482,8.54795432577273e-07,0.121229916836727,0.00359966400689144,0.101521931725689,0.00160865380274457,0.0222413106576153,6.35729798231618e-07,0.105947341537332,0.0410917499854695,0.0694180464011771,0.029331132872828
"GSM831230",0.0767440231907735,0.15048567533953,1.31107292924017e-06,0.301272471560287,1.28674009868716e-06,0.11244821103146,0.00170597132621169,0.107374350771508,1.55012006598059e-05,0.0573448885784781,1.06456040511759e-06,0.0980746871349252,0.0384623514578169,0.0512633025684028,0.00480490346651428
"GSM831231",0.186514712458135,0.133424848404628,3.37677011505883e-05,0.197359830576503,7.96105536212113e-05,0.0797886985078144,0.000517247431821915,0.151811233056984,0.000606201807512681,0.0689595507292269,0.0037070212084842,0.0554353717956824,0.00652708264119113,0.0301648579975665,0.0850699651296785
"GSM831232",0.14990306084811,0.0970445501245922,0.000197876722721865,0.107866963728317,0.00113637493589014,0.0661296907665036,0.00359595043896279,0.330508951054205,2.53590628473417e-05,0.126645405359504,0.0182347665442573,0.0493814118850372,0.000653862988926196,0.0143433097397221,0.0343324658004034
"GSM831233",0.0980211434208738,0.0933229456534485,1.80981765526944e-05,0.43435020562731,0.000316938668814046,0.0932462633120667,0.00100667895615768,0.00362226977845345,0.00111556579502694,0.0577051928639234,1.80599326335355e-05,0.0685486369848862,0.0265266626433606,0.0400363154866864,0.0821450226998062
"GSM831234",0.12972404846777,0.0645124407109222,6.60696950573054e-07,0.427170818949097,5.41395805036396e-07,0.0907673092079288,2.1786802292253e-06,2.10300582879623e-06,2.18926953753379e-06,0.0346281446949217,5.01263159841004e-07,0.0550942380777964,0.0940616716228681,0.0401841828211358,0.063848971136049
"GSM831235",0.135860679465502,0.0461816114030142,1.16789521941427e-06,0.333035953619542,1.13529105876749e-06,0.0767246432680242,0.000199051943733154,0.0438815791368463,2.20232673011163e-06,0.152089763218885,0.00155024427979622,0.0512230103504185,0.0219414954368753,0.0299499875618639,0.107357474802491
"GSM831236",0.214285750410512,0.220321972184487,6.53152181998683e-06,0.195491782060747,9.72437928794074e-06,0.0537878333658436,0.000964098350529616,0.0877470802323311,9.65742915109938e-06,0.0596026460552916,0.00208053088210602,0.043687963549655,0.00858766011200258,0.0141206932243745,0.0992960762418603
"GSM831237",0.0582352649222914,0.0679600593664402,6.02024548645897e-07,0.377161771514525,5.09256343885762e-07,0.116139521128091,0.00234997763457056,0.088249636064552,0.00107677350387566,0.0421957833449121,4.44692212039395e-07,0.106522135260127,0.0387628613509285,0.0774305071088385,0.0239141528277436
"GSM831238",0.0892591280217746,0.154640905699089,6.65762055080016e-07,0.379057500162442,5.42386189612847e-07,0.0970903715195983,0.000857884854768501,0.045610314484894,1.19197206777512e-06,0.00846903809785212,8.29996797358695e-07,0.0469064757291529,0.0262762294023958,0.0167105196694817,0.135118402241442
"GSM831239",0.103451119023048,0.122597339542912,9.78914458149712e-07,0.40767690430055,2.50661734422497e-06,0.0879642384396682,0.00346579470224285,0.0551687871100277,0.00243770064482322,0.0259479097239899,9.53425291926555e-07,0.063187791111093,0.0264469337260156,0.0230396856868655,0.0786113570316702
"GSM831240",0.113996670125906,0.189265426305038,4.89579631803937e-06,0.366345307405075,0.00135723390577686,0.0768201695859121,0.00157472741038219,0.0591064436780121,5.73494749126712e-06,0.0743717228088702,0.0020218447289884,0.056259530939668,0.00362732567826273,0.0196150471229537,0.0356279195613447
"GSM831241",0.104483140077866,0.0992585745519664,2.02306848217448e-06,0.429519303892719,1.00168816317729e-05,0.0948728383431171,0.00171593915543099,0.0146959592552645,0.00152533759320119,0.0189365356144115,4.73321134080331e-06,0.0639522487515145,0.0250203385792924,0.0370798024486409,0.108923208575121
"GSM831242",0.0584615989762907,1.06624397126291e-06,8.9902726481272e-05,0.560463971370777,9.03645017424855e-06,0.112707069798029,8.78740319979389e-05,0.00944717504124859,0.00769984060601858,0.0161516298302863,1.45896940142084e-06,0.0872088745342086,0.028528544620264,0.0510455859530714,0.0680963708477794
"GSM831243",0.253575686613009,0.141165538035205,1.0927138445749e-06,0.237025087401616,1.10926120653128e-06,0.119452812965679,0.0013173338526814,0.0129624383993865,0.00054056714945069,0.00134253101874325,7.33530587235901e-07,0.0773376431807676,0.0174965700159437,0.0734915683091636,0.0642892875527159
"GSM831244",0.119200815586123,9.15612291946786e-07,0.0557239512456378,0.368128362991383,2.10241492992538e-06,0.0861309518745673,0.00842491439073332,0.00635587554306266,0.000111538049590127,0.0711128497616131,2.13117064522471e-05,0.047315256473893,0.0167735612171106,0.0269502695827875,0.193747323549824
"GSM831245",0.282055939882195,0.196955792370852,5.35914218889786e-07,0.15276029168322,5.24778686309164e-07,0.0949403623240219,0.0017576055043254,0.0450625397061058,0.000742725197208588,0.00170705463273434,7.04658657492356e-07,0.0730025718405334,0.0332055398337113,0.0722215647491814,0.0455862469243484
