"CellType","ATL_median","Control_median","P","padj"
"Tumor_T_osteolytic",0.099975156037334,0.0383849342652845,6.03189682868432e-07,1.8095690486053e-06
"T_naive_or_activated",0.0413679511802989,0.374045407686681,2.98117545150739e-11,2.23588158863055e-10
"Proliferating",4.4389391902715e-06,5.77848240662764e-06,0.647687297843162,0.693950676260531
"T_resting",0.367035560317445,0.322490661606124,0.0155660794483961,0.0233491191725941
"B_or_GerminalCenter",2.30451613707517e-06,2.87163385014947e-06,0.0782576653033571,0.106714998140942
"Endothelial",0.0952069224759156,0.0949988528126707,0.936866056792716,0.936866056792716
"Lymphatic_endothelial",0.000600470968925778,0.00223566163636506,0.000227552164467392,0.000568880411168481
"Myeloid",0.0385284926095271,0.023370707359454,0.234777780609771,0.293472225762214
"Fibroblast_osteolytic",0.00126666442119568,5.64525037188096e-07,2.98117086572347e-11,2.23588158863055e-10
"NK_CTL",0.0498736950081109,8.02256811828581e-07,7.85307818773617e-10,3.92653909386809e-09
"Other_epithelial",3.51323122712076e-06,1.27917334938013e-05,0.475917091148738,0.549135105171621
"Keratinocyte",0.0639377455593976,0.0746296364796583,0.00927563057531857,0.0173918073287223
"Apocrine_glandular",0.0254894614784897,0.017801327084492,0.010680552317186,0.0178009205286433
"SmoothMuscle_or_pericyte",0.0452131837272196,0.0277223133452357,0.00209108569996985,0.00448089792850683
"Tumor_T_proliferating",0.0883926550616467,0.0169702248057504,2.44516940028916e-09,9.16938525108435e-09
