"","Tumor_T_osteolytic","T_naive_or_activated","Proliferating","T_resting","B_or_GerminalCenter","Endothelial","Lymphatic_endothelial","Myeloid","Fibroblast_osteolytic","NK_CTL","Other_epithelial","Keratinocyte","Apocrine_glandular","SmoothMuscle_or_pericyte","Tumor_T_proliferating"
"GSM1347237",0.235669042608299,0.0854116540946587,4.63346180883266e-06,0.517801739908723,2.48348488410188e-05,0.0329336555063762,0.00178980136419391,2.4217651631334e-06,0.0359602219627383,2.93541523887519e-06,0.0436107656901633,0.0205713053534289,0.00495207517528662,0.0212643083044557,6.04540624347255e-07
"GSM1347238",0.354225243658299,0.0339064017326947,1.30084652022067e-06,0.459498223064817,1.71182434406111e-06,0.0195756029603467,0.00121707249845519,1.05907847086574e-06,0.0396952942437129,5.49124977878325e-05,0.0495046703036316,0.0171632231342646,0.00431420748522227,0.020840297775902,7.78895530783144e-07
"GSM1347239",0.198794459935209,0.0430595721053561,5.3141661718611e-06,0.485497749817535,6.84960740760521e-06,0.102499377233725,9.61329365930328e-07,6.2208995265477e-07,0.0476930709950337,4.60500947943026e-06,4.25694350909267e-06,0.0630549046984094,0.00286410299698276,0.0565133930806488,7.599912138904e-07
"GSM1347240",0.259158766174939,0.0128826446397118,1.5118744193412e-06,0.565754184882887,6.02010472462914e-06,0.0313188814407345,0.00168953704822829,2.77573471375629e-07,0.0311622297526298,0.0033651246735518,0.0365672795898283,0.0112103161467105,0.0104937427797728,0.0363890001421309,4.83176260186365e-07
"GSM1347241",0.0223590856499479,0.0526092784339101,2.2264961616664e-06,0.646187972306057,1.90082344807935e-06,0.0535236065014439,0.00346333541167276,0.000184018139467199,0.0424855696498799,0.039192348509007,0.00861890939145748,0.00466862815412626,0.0137532957338047,0.0270723422244897,0.0858774825751273
"GSM1347242",0.0418155622634457,0.0823244621521749,4.24185244831055e-06,0.59307415428716,8.04537055144001e-07,0.0685234211992654,0.00431849287680329,0.000618520518259733,0.0438026646834303,0.0336638772892339,0.00341233604777761,0.00254474532558185,0.0189627450464468,0.0325943391384825,0.0743396327824352
"GSM1347243",0.379219679248944,0.0678236282306651,1.18117668462982e-06,0.410646010921339,2.72775686597069e-06,0.0165069722495988,0.00217521420950306,7.15187109754254e-07,0.034958005372045,1.76017465803779e-06,0.0513201587459182,0.0149981105833485,0.00405981405911379,0.0182851471777904,8.74906416245936e-07
"GSM1347244",0.0286990954435128,0.0726811140755052,0.00334632360145003,0.677686964884785,1.71917284709571e-06,0.0664126416730162,0.00446917294993756,0.00476257204690234,0.0476984197075622,0.00682988188647594,0.0164603958050266,0.0138565447024117,0.00512197596533862,0.0302587676730283,0.021714410412201
"GSM1347245",0.016144574146516,0.0843889087214854,9.91112699934916e-06,0.633831303467613,1.89827559988218e-06,0.0722505193235178,0.00756907233219242,0.00547355777374923,0.0486898760913827,0.0141020032660754,0.00287475641421605,0.0048699429754899,0.0107790314675104,0.0273806800020583,0.0716339646155938
"GSM1347246",0.0541873360796714,0.0141921252243218,1.32381703049199e-06,0.685229346302504,1.10644214760661e-06,0.0470039938318396,0.00867422061522395,4.56298845082414e-06,0.0510012465715796,0.00503883826282724,0.0365088737703421,0.0245446999789217,0.0140306330114046,0.0595805522498572,1.14085387762367e-06
