compound,normalized,n_sources,sources,l1000cds2_score,l1000cds2_n,enrichr_best_score,enrichr_n,clue_avg_norm_cs,clue_min_norm_cs,clue_max_fdr,clue_n,clue_n_sigs,clue_reversal,best_pval,moa,target,n_entries
PKCbeta inhibitor,pkcbetainhibitor,3,Enrichr; L1000CDS2; clue.io,0.0,1,97.14748897584924,37,-0.6612421052631579,-1.2293,15.6536,1,19,True,0.005707985202980467,PKC inhibitor,,39
Guggulsterone,guggulsterone,3,Enrichr; L1000CDS2; clue.io,0.0,1,59.60126813005706,21,-0.2825884615384615,-1.2737,15.6536,1,26,True,0.006263172330545126,Estrogen receptor agonist|Cholesterol inhibitor|FXR antagonist|IKK inhibitor|Progesterone receptor agonist|PXR agonist,NR1H4|PGR|AR|NR3C1|NR3C2,23
HLI 373,hli373,3,Enrichr; L1000CDS2; clue.io,0.0,1,33.326939424402696,51,-0.27574444444444446,-1.2736,15.6536,1,18,True,0.016916285122255435,MDM inhibitor,MDM2,53
nTZDpa,ntzdpa,3,Enrichr; L1000CDS2; clue.io,0.0,1,156.189537724504,2,-0.15811999999999998,-1.0745,3.4693,1,15,True,0.029666199887420187,PPAR receptor agonist,PPARG,4
SB 202190,sb202190,3,Enrichr; L1000CDS2; clue.io,0.0,1,25.034041322666724,21,-0.07802857142857143,-1.3935,15.6536,1,14,True,0.015694997200402117,P38 MAPK inhibitor,MAPK14|AKT1|ALOX5|CHEK1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK8|PRKCA|ROCK1|RPS6KB1|SGK1,23
SB590885,sb590885,3,Enrichr; L1000CDS2; clue.io,0.0,1,359.6430186424305,153,-0.007009999999999998,-1.229,15.6536,1,30,True,3.706762915703346e-11,RAF inhibitor,BRAF,155
dmeob,dmeob,2,Enrichr; clue.io,,0,7.396590556838097,3,-0.7676083333333333,-1.4517,15.6536,1,12,True,0.11866143100423389,,,4
prunetin,prunetin,2,Enrichr; clue.io,,0,28.35383197455673,2,-0.754375,-1.1498,3.0752,1,4,True,0.012866994282619353,Breast cancer resistance protein inhibitor,,3
psoromic acid,psoromicacid,2,Enrichr; clue.io,,0,33.71572144348522,1,-0.69138,-1.5172,15.6536,1,5,True,0.07949367100398377,Ras GTPase inhibitor,,2
sb 218795,sb218795,2,Enrichr; clue.io,,0,65.9085293542957,2,-0.6870571428571429,-1.3764,15.6536,1,14,True,0.05134069427933927,Tachykinin antagonist,TACR3,3
blebbistatin,blebbistatin,2,Enrichr; clue.io,,0,74.63985907553369,15,-0.6524764705882353,-1.5343,15.6536,1,17,True,0.0011382558078895538,ATPase inhibitor,,16
bas 09104376,bas09104376,2,Enrichr; clue.io,,0,31.75207337759583,7,-0.6489307692307692,-1.1977,15.6536,1,13,True,0.02534373828530093,HIV inhibitor,,8
apo866,apo866,2,Enrichr; clue.io,,0,9.770499067592834,2,-0.5987176470588236,-1.2622,15.6536,1,17,True,0.17165009268874884,NAMPT inhibitor,,3
ns3694,ns3694,2,Enrichr; clue.io,,0,2.275900014916359,1,-0.5889875,-1.3657,15.6536,1,8,True,0.3638781812849406,Glutamate receptor antagonist,CASP9,2
nabumetone,nabumetone,2,Enrichr; clue.io,,0,7.330447973621347,1,-0.5819599999999999,-1.2729,15.6536,1,10,True,0.20229145103244892,Cyclooxygenase inhibitor,PTGS2|AKR1C3|CYP2B6|CYP2C19|CYP2E1|PTGS1,2
actarit,actarit,2,Enrichr; clue.io,,0,16.171078308333918,2,-0.5819066666666667,-1.3936,15.6536,1,15,True,0.12677867536057502,Interleukin inhibitor,,3
nu 1025,nu1025,2,Enrichr; clue.io,,0,49.120954550502866,5,-0.568565,-1.4019,15.6536,1,20,True,0.0021057404410557215,PARP inhibitor|DNA dependent protein kinase inhibitor,PARP1,6
tropicamide,tropicamide,2,Enrichr; clue.io,,0,54.02023282333744,4,-0.56462,-1.0861,3.0755,1,10,True,0.0584581138777585,Acetylcholine receptor antagonist,CHRM3|CHRM4|CHRM1|CHRM2,5
nomegestrol acetate,nomegestrolacetate,2,Enrichr; clue.io,,0,4.229893278072021,2,-0.5595846153846153,-1.11,2.3144,1,13,True,0.2713139414347713,Progesterone receptor agonist,PGR,3
bas 02859604,bas02859604,2,Enrichr; clue.io,,0,3.253414565448033,2,-0.5590916666666667,-1.2889,15.6536,1,12,True,0.3088022779628034,,,3
tcs 359,tcs359,2,Enrichr; clue.io,,0,17.99918137892021,6,-0.5297375,-1.2744,15.6536,1,8,True,0.048491303080940906,FLT3 inhibitor,FLT3,7
ptb1,ptb1,2,Enrichr; clue.io,,0,3.908284121397504,4,-0.5255125,-1.4309,15.6536,1,16,True,0.20252524754019346,AMPK activator,PTPN1,5
diphenoxylate,diphenoxylate,2,Enrichr; clue.io,,0,112.94787989424374,5,-0.5200333333333333,-1.0412,1.6428,1,6,True,0.00029879307630711384,Opioid receptor agonist,OPRM1,6
