"CellType","Pearson_r","Spearman_rho","P_value"
"Myeloid",0.585403597510339,0.300875464983177,5.33624400653661e-08
"Proliferating",0.507753445507001,0.176480555262334,4.53532389590608e-06
"T_naive_or_activated",0.346993916546942,0.361526431671603,0.00263327590350102
"Tumor_T_osteolytic",0.273563287352066,0.193073151798217,0.0191885862219834
"T_resting",0.242412757820276,0.172203135928297,0.0387947451872729
"Tumor_T_proliferating",0.156049724555813,0.207927207411102,0.187379783310438
"Other_epithelial",0.125618586643797,0.189213306515507,0.289616803546575
"Lymphatic_endothelial",0.11775875520926,0.0497068286410383,0.321088639792053
"SmoothMuscle_or_pericyte",0.0628096788782595,-0.0154851016262108,0.597564971641739
"NK_CTL",0.0480595816200839,0.149342829646559,0.686383725476966
"Endothelial",-0.0222230179598107,0.158368533246571,0.851959067667539
"Apocrine_glandular",-0.0254064575988991,-0.133843003474438,0.831045672916038
"Fibroblast_osteolytic",-0.0612636347747534,0.128452401297155,0.606632420237483
"B_or_GerminalCenter",-0.0614087880432293,0.0220531613998711,0.605778549807955
"Keratinocyte",-0.0814534539448728,-0.096935063423929,0.493301962418281
